BotName	SettingName	SettingJson	GameWord	TotalGuessesMade	LatestGameState	GameResult
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	10	{"current_state": "A A _ _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["X", "T", "P", "W", "S", "O", "J", "Z", "R"], "game_word": {"game_word": "AANI"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	6	{"current_state": "A A N I", "guesses_left": 4, "correct_guesses": ["A", "I", "N"], "incorrect_guesses": ["E", "T", "O"], "game_word": {"game_word": "AANI"}}	win
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AA"}	10	{"current_state": "_ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["M", "N", "B", "R", "W", "G", "H", "S", "F", "X"], "game_word": {"game_word": "AA"}}	lose
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AA"}	3	{"current_state": "A A", "guesses_left": 7, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "AA"}}	win
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "A"}	8	{"current_state": "A", "guesses_left": 12, "correct_guesses": ["A"], "incorrect_guesses": ["S", "T", "O", "X", "D", "V", "R"], "game_word": {"game_word": "A"}}	win
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "A"}	3	{"current_state": "A", "guesses_left": 17, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "A"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ _ D V _ _ _", "guesses_left": 0, "correct_guesses": ["V", "D"], "incorrect_guesses": ["C", "P", "X", "T", "W", "J", "B", "S"], "game_word": {"game_word": "AARDVARK"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R D _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R", "D"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H"], "game_word": {"game_word": "AARDVARK"}}	lose
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AA"}	10	{"current_state": "_ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["U", "E", "T", "C", "B", "X", "H", "Y", "L", "W"], "game_word": {"game_word": "AA"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AA"}	3	{"current_state": "A A", "guesses_left": 7, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "AA"}}	win
